Date/time,Longitude,Latitude,Hor,HorT,Ver,VerT,Tot,TotT
2021-04-23 12:13:13.633882,-124:46:33.9,20:23:47.0,24.5349231494345,27,42.8417587280273,25,49.3698161315106,35
2021-04-23 12:16:44.963892,-115:15:08.1,30:16:53.2,24.3797588512922,25,53.5697288513183,35,58.8565076338286,42
2021-04-23 12:20:39.117890,-101:59:42.9,40:05:04.0,21.5386144042813,22,62.0154800415039,47,65.6493082616602,52
2021-04-23 12:26:29.434602,-74:24:09.1,50:01:53.6,14.5868488979048,15,68.1799926757812,55,69.7229342615461,55
2021-04-23 12:38:33.963964,-10:15:55.6,40:09:30.0,14.5770994336568,22,58.9289588928222,35,60.7051400137636,45
2021-04-23 12:42:28.516259,3:01:15.3,30:22:08.3,17.3308472765758,31,52.6867713928222,25,55.4639896430423,43
2021-04-23 12:46:09.444036,12:58:28.1,20:00:20.8,19.3926596624733,35,43.4112930297851,12,47.5459315956937,40
2021-04-23 12:49:29.634113,20:45:34.4,10:07:08.4,20.765408719999,34,33.1525344848632,0,39.1189563009886,37
2021-04-23 12:52:50.783923,28:03:14.7,-0:01:36.9,19.4959679299944,30,22.866319656372,-15,30.0493151362016,32
2021-04-23 12:56:11.083813,35:20:51.6,-10:10:10.4,15.0057506564936,25,15.698166847229,-22,21.7164682931709,33
2021-04-23 12:59:34.113950,43:15:11.0,-20:11:31.4,11.9144852130826,20,10.3823804855346,-27,15.8034421073123,35
2021-04-23 13:03:07.203975,52:49:36.6,-30:10:09.8,10.9739672449967,17,4.44380617141723,-35,11.8395679981741,40
2021-04-23 13:07:12.424552,66:39:44.1,-40:21:02.4,10.790122721461,16,-2.6476981639862,-50,11.1102229460874,55
2021-04-23 13:12:56.838924,93:49:25.7,-50:02:12.2,8.01243438129949,15,-14.5645809173583,-60,16.6230599473415,62
2021-04-23 13:25:03.734493,158:01:41.9,-40:05:51.5,14.5124134093592,17,-17.6447410583496,-58,22.8461600707943,59
2021-04-23 13:28:55.743913,171:07:08.0,-30:27:02.1,20.4480383430682,22,-9.68700790405273,-45,22.6265418085215,51
2021-04-23 13:32:35.501073,-178:58:01.8,-20:09:25.8,25.0136682100528,27,0.400158822536468,-25,25.016868796991,42
2021-04-23 13:35:42.303950,-171:39:39.2,-10:56:06.0,27.2516312152404,31,10.4291887283325,-15,29.1790915112627,35
2021-04-23 13:39:23.544070,-163:37:45.7,0:12:40.1,27.7015423579459,34,22.4589920043945,-5,35.6620494484337,33
2021-04-23 13:42:40.973912,-156:26:26.2,10:12:13.8,27.1571898647332,33,32.8310928344726,12,42.607436182607,32
2021-04-23 13:46:08.104072,-148:21:34.8,20:25:35.5,26.1363106702034,27,40.9840087890625,28,48.6085970983667,35
2021-04-23 13:49:39.224027,-138:49:50.7,30:18:34.0,25.0548560404376,25,48.8352546691894,30,54.8874112143362,42
2021-04-23 13:53:40.781309,-125:10:36.9,40:20:01.7,22.6072898534534,22,58.1567726135253,42,62.396312033159,48
2021-04-23 13:59:24.044061,-97:57:13.8,50:02:30.9,16.2693229378231,15,68.2023315429687,50,70.1159674878141,52
2021-04-23 14:11:24.123956,-34:05:34.5,40:17:07.4,11.8094061358266,25,59.4456176757812,35,60.6072894471948,45
2021-04-23 14:15:29.624010,-20:15:38.1,30:04:16.3,15.5058094418984,30,51.0118827819824,23,53.3164356592897,40
2021-04-23 14:19:03.043818,-10:39:01.5,20:01:26.6,18.4787823951795,33,41.6652183532714,10,45.5791160427029,38
2021-04-23 14:22:21.854306,-2:56:17.5,10:14:17.5,18.8241260691187,33,31.366865158081,-10,36.5817980983892,35
2021-04-23 14:25:48.313919,4:34:28.6,-0:12:37.3,16.7624174966982,30,20.7150745391845,-15,26.6475693731639,32
2021-04-23 14:29:08.017769,11:50:08.5,-10:18:03.3,12.4755378970629,23,13.1817274093627,-22,18.1492970474285,32
2021-04-23 14:32:29.375362,19:40:09.6,-20:13:19.7,8.11470702315118,14,10.3182735443115,-25,13.1268899213339,35
2021-04-23 14:36:02.384182,29:14:53.2,-30:11:50.2,6.37506948661843,11,8.81658840179443,-27,10.8799697612571,46
2021-04-23 14:39:58.555503,42:30:47.6,-40:02:08.5,7.88967357250602,12,6.00984144210815,-30,9.9179203082088,55
2021-04-23 14:45:49.971429,70:05:11.3,-50:00:49.8,9.43475820454925,17,-4.76685619354248,-55,10.5705998102389,67
2021-04-23 14:57:58.283963,134:27:31.7,-40:04:27.2,12.6681246560931,22,-18.4602851867675,-55,22.3889149241115,60
2021-04-23 15:01:50.273888,147:32:25.4,-30:25:21.9,19.2113254669329,25,-12.9309520721435,-50,23.1578182842965,53
2021-04-23 15:05:29.994670,157:26:56.8,-20:07:37.3,24.3212793344131,33,-4.03219890594482,-40,24.6532605648756,48
